  # HOST                                        SRC ANBIETER BIETET              WIR NUTZEN                   FORCES                
=======================================================================================================================================
179 erddap.aoml.noaa.gov                          1 1 Quellen                    1 Quellen                    em
180 erddap.emodnet-physics.eu                     1 1 Quellen                    1 Quellen                    em
181 pegelonline.wsv.de                            1 1 Quellen                    1 Quellen                    gravity
182 records-ws.nbnatlas.org                       1 1 Quellen                    1 Quellen                    acoustic
183 archive.nrao.edu                              1 1 Quellen                    1 Quellen                    em
184 services.nvd.nist.gov                         1 1 Quellen                    1 Quellen                    em
185 eyes.nasa.gov                                 1 1 Quellen                    1 Quellen                    em
186 api.safecast.org                              1 1 Quellen                    1 Quellen                    em
187 www.temis.nl                                  1 1 Quellen                    1 Quellen                    em
188 terrabrasilis.dpi.inpe.br                     1 1 Quellen                    1 Quellen                    diffusion
189 db.satnogs.org                                1 1 Quellen                    1 Quellen                    em
190 data.cdc.gov                                  1 1 Quellen                    1 Quellen                    em
191 weather.uwyo.edu                              1 1 Quellen                    1 Stat.                      thermal
192 vsx.aavso.org                                 1 1 Quellen                    1 Quellen                    em
193 newton.spacedys.com                           1 1 Quellen                    1 Quellen                    gravity
194 opendata.dwd.de                               1 1 Quellen                    1 Quellen                    em
195 api.met.no                                    1 1 Quellen                    1 Quellen                    em
196 opendata.ecdc.europa.eu                       1 1 Quellen                    1 Quellen                    em
197 epoch.ai                                      1 1 Quellen                    1 Quellen                    em
198 www.peeringdb.com                             1 1 Quellen                    1 Quellen                    em
199 modis.ornl.gov                                1 1 Quellen                    1 Quellen                    em
200 restcountries.com                             1 1 Quellen                    1 Quellen                    em
201 www.submarinecablemap.com                     1 1 Quellen                    1 Quellen                    em
202 api.unhcr.org                                 1 1 Quellen                    1 Quellen                    em
203 www.star.nesdis.noaa.gov                      1 1 Quellen                    1 Quellen                    em
204 xmart-api-public.who.int                      1 1 Quellen                    1 Quellen                    em
205 www.bodc.ac.uk                                1 1 Quellen                    1 Quellen                    diffusion
206 www.chime-frb.ca                              1 1 Quellen                    1 Quellen                    em
207 mars.nasa.gov                                 1 1 Quellen                    1 Quellen                    em
208 crates.io                                     1 1 Quellen                    1 Quellen                    em
209 dasch.rc.fas.harvard.edu                      1 1 Quellen                    1 Quellen                    em
